var[0], var[1], fitness
0.039216, 0.015686, 0.936724
0.501961, 0.156863, 0.935151
0.501961, 0.015686, 0.925274
0.501961, 0.156863, 0.935151
0.501961, 0.219608, 0.910558
0.501961, 0.250980, 0.880598
1.168627, 0.415686, 0.115726
0.501961, 0.156863, 0.935151
0.815686, 0.015686, 0.028280
1.066667, 0.258824, 0.700308
0.501961, 0.407843, 0.494628
0.501961, 0.250980, 0.880598
0.501961, 0.023529, 0.925642
0.501961, 0.258824, 0.870800
1.098039, 0.219608, 0.625829
0.501961, 0.015686, 0.925274
0.501961, 0.219608, 0.910558
0.564706, 0.407843, 0.230166
1.168627, 0.447059, 0.082965
0.509804, 0.407843, 0.460694
1.160784, 0.156863, 0.402476
0.501961, 1.160784, 0.049355
1.505882, 0.219608, 0.580170
1.505882, 0.156863, 0.564762
1.505882, 0.156863, 0.564762
0.501961, 0.376471, 0.600361
0.501961, 0.156863, 0.935151
0.501961, 0.015686, 0.925274
0.501961, 0.156863, 0.935151
0.564706, 0.219608, 0.710142
